mrr	h1	h3	h10	time_this_iter_s	done	training_iteration	trial_id	date	timestamp	time_total_s	pid	hostname	node_ip	time_since_restore	iterations_since_restore	config/act	config/attn_dim	config/batch_size	config/dropout	config/hidden_dim	config/lr	config/n_layer	config/wandb/entity	config/wandb/log_config	config/wandb/project	logdir
0.4717228993882669	0.3763217959089333	0.5281260834392696	0.6475210909511152	6558.5741312503815	False	2	d82a3607	2023-09-18_23-20-56	1695050456	14346.002197027206	548626	abc	101.6.66.23	14346.002197027206	2	idd	5	50	0.021518190816275363	128	-2.3401719797101226	3	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_d82a3607_1_act=idd,attn_dim=5,batch_size=50,dropout=0.0215,hidden_dim=128,lr=-2.3402,n_layer=3,entity=qqpp,log_config=Tr_2023-09-18_19-21-47
0.4626455149916817	0.364584537154744	0.5199713972032821	0.6426022766670519	14950.28481221199	False	2	d7badf73	2023-09-19_03-18-53	1695064733	28620.065508127213	549737	abc	101.6.66.23	28620.065508127213	2	sigmoid	5	10	0.22328783729416063	64	-2.008572461654284	5	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_d7badf73_2_act=sigmoid,attn_dim=5,batch_size=10,dropout=0.2233,hidden_dim=64,lr=-2.0086,n_layer=5,entity=qqpp,log_config_2023-09-18_19-21-50
0.4823913032959704	0.3909048884779845	0.5347422859124004	0.6525843638044608	12410.71075630188	False	2	33b30eb0	2023-09-19_02-16-16	1695060976	24859.77563214302	551455	abc	101.6.66.23	24859.77563214302	2	relu	5	50	0.007142929079516513	32	-2.047336153828652	5	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_33b30eb0_3_act=relu,attn_dim=5,batch_size=50,dropout=0.0071,hidden_dim=32,lr=-2.0473,n_layer=5,entity=qqpp,log_config=Tr_2023-09-18_19-21-53
0.4153616584510989	0.3078628799260372	0.474763087946377	0.6219158095458223	14331.64777135849	False	2	46847848	2023-09-19_03-16-07	1695064567	28447.807146549225	552864	abc	101.6.66.23	28447.807146549225	2	sigmoid	5	10	0.09880516145157975	128	-1.9999391225806549	5	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_46847848_4_act=sigmoid,attn_dim=5,batch_size=10,dropout=0.0988,hidden_dim=128,lr=-1.9999,n_layer=5,entity=qqpp,log_confi_2023-09-18_19-21-56
0.4634960710780545	0.3668814284063331	0.5191118687160522	0.6441913209291575	6679.84234213829	False	2	a237e6e4	2023-09-18_23-19-23	1695050363	14240.623826265337	554483	abc	101.6.66.23	14240.623826265337	2	sigmoid	5	50	0.2246400583909619	128	-2.5445890133771294	3	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_a237e6e4_5_act=sigmoid,attn_dim=5,batch_size=50,dropout=0.2246,hidden_dim=128,lr=-2.5446,n_layer=3,entity=qqpp,log_confi_2023-09-18_19-21-59
0.0542858079653913	0.0174505951693054	0.047310181439963	0.1168958742632613	6631.482727050781	False	2	7300a456	2023-09-18_23-20-32	1695050432	14306.296481847765	556156	abc	101.6.66.23	14306.296481847765	2	tanh	5	30	0.23614602307951274	128	-1.1630882360556942	3	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_7300a456_6_act=tanh,attn_dim=5,batch_size=30,dropout=0.2361,hidden_dim=128,lr=-1.1631,n_layer=3,entity=qqpp,log_config=T_2023-09-18_19-22-02
0.3187561165447063	0.2059401363688894	0.3712224084132671	0.5465806656650872	16631.41372203827	False	2	2e29a87c	2023-09-19_08-40-00	1695084000	33636.85077834129	554483	abc	101.6.66.23	33636.85077834129	2	idd	5	30	0.2161370495812173	64	-3.62704420297575	7	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_2e29a87c_7_act=idd,attn_dim=5,batch_size=30,dropout=0.2161,hidden_dim=64,lr=-3.6270,n_layer=7,entity=qqpp,log_config=Tru_2023-09-18_19-22-06
0.4743410236583664	0.3779036172425748	0.5320625794522131	0.6505330521206518	6125.232967615128	False	2	b375e7a7	2023-09-19_03-07-43	1695064063	13630.8937561512	556156	abc	101.6.66.23	13630.8937561512	2	sigmoid	5	50	0.1732699450962655	32	-2.1555530598302584	3	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_b375e7a7_8_act=sigmoid,attn_dim=5,batch_size=50,dropout=0.1733,hidden_dim=32,lr=-2.1556,n_layer=3,entity=qqpp,log_config_2023-09-18_23-19-23
0.1135094408599198	0.0456200161793597	0.1203989945683578	0.244734485149659	20203.153418540955	False	2	659df0d6	2023-09-19_10-46-59	1695091619	41162.90097713471	548626	abc	101.6.66.23	41162.90097713471	2	sigmoid	10	10	0.2680793930816765	128	-2.164235541884035	7	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_659df0d6_9_act=sigmoid,attn_dim=10,batch_size=10,dropout=0.2681,hidden_dim=128,lr=-2.1642,n_layer=7,entity=qqpp,log_conf_2023-09-18_23-20-32
0.1773642618763002	0.0935297006818444	0.1948457182480064	0.3531361955391194	18246.333886146545	False	2	7f33550d	2023-09-19_12-16-01	1695096961	35985.12940120697	551455	abc	101.6.66.23	35985.12940120697	2	sigmoid	5	10	0.15278892022903975	32	-2.0394691833416236	7	qqpp	True	EL-GNN	/home/qiuhaiquan/ray_results/objective_2023-09-18_19-21-47/objective_7f33550d_10_act=sigmoid,attn_dim=5,batch_size=10,dropout=0.1528,hidden_dim=32,lr=-2.0395,n_layer=7,entity=qqpp,log_confi_2023-09-18_23-20-56
